ID,Name,Poster,NumTracks,TopTracks,Likes,Reposts,PostedTime,Genre,Length
P1538,folk,U9389,127,"['T13068', 'T13069', 'T13070', 'T13071', 'T13072', 'T13073', 'T13074', 'T13075', 'T13076', 'T13077']",5,None,17 April 2020,folk,2:15:27
P1539,folk,U9395,89,"['T12062', 'T13078', 'T13079', 'T96', 'T97', 'T13080', 'T13081', 'T13082', 'T13083', 'T12538']",1,None,14 November 2018,folk,3:36:49
P1540,folk,U9398,125,"['T13084', 'T13085', 'T13086', 'T13087', 'T13088', 'T13089', 'T13090', 'T13091', 'T13092', 'T13093']",2,None,22 October 2014,folk,2:57:38
P1541,folk,U9407,98,"['T13094', 'T13095', 'T13096', 'T13097', 'T13098', 'T13099', 'T13100', 'T13101', 'T13102', 'T13103']",13,None,27 October 2015,folk,2:41:41
P1542,folk,U9413,84,"['T13104', 'T13105', 'T13106', 'T13107', 'T13108', 'T11696', 'T13109', 'T13110', 'T13111', 'T13112']",3,None,26 October 2019,folk,4:35:54
P1543,Folk,U9422,1,['T13113'],2,19,6 August 2014,folk,4:10
P1544,FOLK,U9424,106,"['T13114', 'T13115', 'T13116', 'T13117', 'T12615', 'T13118', 'T12616', 'T13119', 'T13120', 'T13121']",1,30,19 May 2018,folk,3:29:38
P1545,Folk,U9430,100,"['T13122', 'T13123', 'T13124', 'T13125', 'T10834', 'T13126', 'T13127', 'T13128', 'T256', 'T13129']",1,1,15 June 2017,folk,2:59:36
P1546,folk,U9438,45,"['T13130', 'T13131', 'T13132', 'T13133', 'T13134', 'T13135', 'T5461', 'T13136', 'T13137', 'T13138']",4,None,16 April 2014,folk,2:26:55
P1547,Folk,U9442,141,"['T13139', 'T13140', 'T13141', 'T13142', 'T13143', 'T13144', 'T13145', 'T13146', 'T13147', 'T13148']",3,1,7 January 2017,folk,3:26:15
P1548,folk,U9449,83,"['T13149', 'T13150', 'T13151', 'T13152', 'T13153', 'T13154', 'T13155', 'T13156', 'T13157', 'T13158']",8,3,2 October 2021,folk,3:16:16
P1549,Folk,U9458,82,"['T1128', 'T325', 'T51', 'T1123', 'T721', 'T1331', 'T1076', 'T1328', 'T1329', 'T1330']",None,None,28 March 2017,folk,3:15:20
P1550,folk,U9459,118,"['T13159', 'T13160', 'T13161', 'T13162', 'T13163', 'T13164', 'T13165', 'T13166', 'T13167', 'T13168']",3,4,16 June 2020,folk,4:05:35
P1551,folk,U9469,55,"['T13169', 'T12141', 'T13170', 'T12935', 'T12789', 'T12934', 'T12940', 'T11872', 'T13171', 'T13172']",1,None,22 November 2018,folk,3:08:18
P1552,Folk,U9474,145,"['T13173', 'T13174', 'T13175', 'T13176', 'T13177', 'T13178', 'T13179', 'T13180', 'T13181', 'T13182']",1,11,29 July 2015,folk,2:42:52
P1553,folk,U9480,83,"['T13183', 'T13184', 'T13185', 'T13186', 'T13187', 'T13188', 'T564', 'T13189', 'T1122', 'T1124']",3,None,29 January 2018,folk,4:08:11
P1554,folk,U9486,109,"['T4785', 'T13190', 'T13191', 'T13192', 'T13193', 'T4784', 'T13194', 'T13195', 'T4167', 'T13196']",None,None,4 May 2015,folk,2:43:02
P1555,folk,U9489,52,"['T11884', 'T11785', 'T13197', 'T13198', 'T13199', 'T13200', 'T13201', 'T13202', 'T11782', 'T13203']",1,None,31 March 2016,folk,3:41:31
P1556,folk,U9496,82,"['T13204', 'T13205', 'T13206', 'T13207', 'T13208', 'T13209', 'T13210', 'T13211', 'T13212', 'T13213']",33,1,21 November 2015,folk,3:04:59
P1557,folk,U9499,134,"['T13214', 'T13215', 'T13216', 'T13217', 'T13218', 'T11464', 'T13219', 'T13220', 'T13221', 'T13222']",10,None,22 May 2018,folk,2:31:05
P1558,folk,U9509,84,"['T13223', 'T13224', 'T10544', 'T13225', 'T13226', 'T13227', 'T13228', 'T13229', 'T13230', 'T13231']",1,2,27 January 2016,folk,2:53:52
